epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,14093.8,0.9419,0.63214,1.08607,0.9302,0.9007,0.9513,0.72203,1.04649,0.52873,1.06393,0.0001609,0.0001609,0.0001609
74,14288.3,0.94215,0.6309,1.08592,0.93177,0.90932,0.95565,0.74787,0.97879,0.50748,1.02263,0.000159663,0.000159663,0.000159663
75,14483.9,0.93346,0.62422,1.07647,0.92314,0.91557,0.95319,0.74326,0.97161,0.50956,1.01851,0.000158425,0.000158425,0.000158425
76,14675.5,0.92982,0.6284,1.07674,0.91485,0.91499,0.95495,0.73905,0.99888,0.50299,1.03748,0.000157188,0.000157188,0.000157188
77,14889.9,0.94176,0.6305,1.08218,0.92841,0.90479,0.95084,0.73539,0.99118,0.50514,1.02917,0.00015595,0.00015595,0.00015595
78,15093.8,0.92674,0.61856,1.07214,0.93008,0.90025,0.95144,0.73382,0.98451,0.50586,1.02496,0.000154712,0.000154712,0.000154712
79,15288.3,0.9052,0.60959,1.0691,0.93492,0.90418,0.94939,0.74322,0.97506,0.50855,1.01635,0.000153475,0.000153475,0.000153475
80,138.778,0.90868,0.60907,1.07001,0.89996,0.92196,0.95181,0.73348,0.99228,0.50814,1.03038,0.000152238,0.000152238,0.000152238
81,279.053,0.91819,0.61421,1.07449,0.90636,0.90908,0.95181,0.72868,1.00265,0.51399,1.03394,0.000151,0.000151,0.000151
82,138.468,0.82855,0.55464,1.03657,0.93209,0.91413,0.95474,0.74066,1.00074,0.49344,1.04398,0.000149762,0.000149762,0.000149762
83,270.472,0.84868,0.55683,1.0455,0.91834,0.91427,0.94917,0.72961,1.00288,0.50139,1.04184,0.000148525,0.000148525,0.000148525
84,408.212,0.92935,0.6117,1.07607,0.94011,0.91023,0.95677,0.74025,0.99072,0.49153,1.0335,0.000147287,0.000147287,0.000147287
85,538.592,0.91046,0.60186,1.06928,0.93977,0.89604,0.95407,0.73624,1.00218,0.50099,1.04241,0.00014605,0.00014605,0.00014605
86,669.697,0.93004,0.60902,1.07421,0.9411,0.91162,0.95421,0.74774,0.97492,0.48469,1.02594,0.000144812,0.000144812,0.000144812
87,803.541,0.92031,0.60545,1.07318,0.94585,0.89574,0.95556,0.74467,0.98143,0.48881,1.02584,0.000143575,0.000143575,0.000143575
88,945.578,0.91297,0.6019,1.07175,0.94202,0.91257,0.95302,0.73957,1.00172,0.4896,1.03406,0.000142337,0.000142337,0.000142337
89,1088.36,0.89183,0.59728,1.06572,0.93856,0.91778,0.9554,0.74815,0.97773,0.48874,1.02299,0.0001411,0.0001411,0.0001411
90,1225.88,0.91061,0.5979,1.06835,0.93494,0.90764,0.95495,0.75078,0.98076,0.48868,1.02635,0.000139862,0.000139862,0.000139862
91,162.114,0.82177,0.54118,1.03134,0.93657,0.90817,0.95559,0.74551,0.97714,0.48941,1.0266,0.000138625,0.000138625,0.000138625
92,300.624,0.81508,0.53397,1.03067,0.93586,0.89886,0.95353,0.74473,0.98832,0.48801,1.02786,0.000137387,0.000137387,0.000137387
93,438.61,0.85939,0.55631,1.04527,0.9492,0.90453,0.95152,0.74042,0.99288,0.48839,1.03819,0.00013615,0.00013615,0.00013615
94,567.398,0.85122,0.55008,1.0434,0.9365,0.90866,0.95596,0.75089,0.99116,0.48185,1.03931,0.000134913,0.000134913,0.000134913
95,704.085,0.86701,0.55432,1.04565,0.9441,0.90004,0.95548,0.75176,0.98259,0.47859,1.02975,0.000133675,0.000133675,0.000133675
